"MSA","Counties","Wage Index","GAF"
"5560","1 New Orleans, LA Jefferson, LA Orleans, LA Plaquemines, LA St. Bernard, LA St. Charles, LA St. James, LA St. John The Baptist, LA St. Tammany, LA","0.9100","0.9375"
"5600","1 New York, NY Bronx, NY Kings, NY New York, NY Putnam, NY Queens, NY Richmond, NY Rockland, NY Westchester, NY","1.3595","1.2341"
"5640","1, 2 Newark, NJ Essex, NJ Morris, NJ Sussex, NJ Union, NJ Warren, NJ","1.1788","1.1192"
"5660","Newburgh, NY-PA Orange, NY Pike, PA","1.1171","1.0788"
"5720","1 Norfolk-Virginia Beach-Newport News, VA-NC Currituck, NC Chesapeake City, VA Gloucester, VA Hampton City, VA Isle of Wight, VA James City, VA Mathews, VA Newport News City, VA Norfolk City, VA Poquoson City, VA Portsmouth City, VA Suffolk City, VA Virginia Beach City VA Williamsburg City, VA York, VA","0.8928","0.9253"
"5775","1 Oakland, CA Alameda, CA Contra Costa, CA","1.5338","1.3403"
"5790","Ocala, FL Marion, FL","0.9174","0.9427"
"5800","Odessa-Midland, TX Ector, TX Midland, TX","0.9631","0.9746"
"5880","1 Oklahoma City, OK Canadian, OK Cleveland, OK Logan, OK McClain, OK Oklahoma, OK Pottawatomie, OK","0.8968","0.9281"
"5910","Olympia, WA Thurston, WA","1.1005","1.0678"
"5920","Omaha, NE-IA Pottawattamie, IA Cass, NE Douglas, NE Sarpy, NE Washington, NE","0.9740","0.9821"
"5945","1 Orange County, CA Orange, CA","1.1701","1.1136"
"5960","1 Orlando, FL Lake, FL Orange, FL Osceola, FL Seminole, FL","0.9731","0.9815"
"5990","Owensboro, KY Daviess, KY","0.8450","0.8911"
"6015","2 Panama City, FL Bay, FL","0.8707","0.9095"
"6020","Parkersburg-Marietta, WV-OH (WV Hospitals) Washington, OH Wood, WV","0.8315","0.8813"
"6020","2 Parkersburg-Marietta, WV-OH (OH Hospitals) Washington, OH Wood, WV","0.8759","0.9133"
"6080","2 Pensacola, FL Escambia, FL Santa Rosa, FL","0.8707","0.9095"
"6120","Peoria-Pekin, IL Peoria, IL Tazewell, IL Woodford, IL","0.8913","0.9242"
"6160","1 Philadelphia, PA-NJ (PA Hospitals) Burlington, NJ Camden, NJ Gloucester, NJ Salem, NJ Bucks, PA Chester, PA Delaware, PA Montgomery, PA Philadelphia, PA","1.0813","1.0550"
"6160","1, 2 Philadelphia, PA-NJ (NJ Hospitals) Burlington, NJ Camden, NJ Gloucester, NJ Salem, NJ Bucks, PA Chester, PA Delaware, PA Montgomery, PA Philadelphia, PA","1.1788","1.1192"
"6200","1 Phoenix-Mesa, AZ Maricopa, AZ Pinal, AZ","0.9985","0.9990"
"6240","Pine Bluff, AR Jefferson, AR","0.8700","0.9090"
"6280","1 Pittsburgh, PA Allegheny, PA Beaver, PA Butler, PA Fayette, PA Washington, PA Westmoreland, PA","0.8743","0.9121"
"6323","Pittsfield, MA Berkshire, MA","1.0431","1.0293"
"6340","Pocatello, ID Bannock, ID","0.9589","0.9717"
"6360","Ponce, PR Guayanilla, PR Juana Diaz, PR Penuelas, PR Ponce, PR Villalba, PR Yauco, PR","0.4955","0.6183"
"6403","Portland, ME Cumberland, ME Sagadahoc, ME York, ME","1.0102","1.0070"
"6440","1 Portland-Vancouver, OR-WA Clackamas, OR Columbia, OR Multnomah, OR Washington, OR Yamhill, OR Clark, WA","1.1371","1.0920"
"6483","1 Providence-Warwick-Pawtucket, RI Bristol, RI Kent, RI Newport, RI Providence, RI Washington, RI","1.1046","1.0705"
"6520","Provo-Orem, UT Utah, UT","0.9596","0.9722"
"6560","2 Pueblo, CO Pueblo, CO","0.9356","0.9554"
"6580","Punta Gorda, FL Charlotte, FL","0.9451","0.9621"
"6600","2 Racine, WI Racine, WI","0.9496","0.9652"
"6640","1 Raleigh-Durham-Chapel Hill, NC Chatham, NC Durham, NC Franklin, NC Johnston, NC Orange, NC Wake, NC","1.0224","1.0153"
"6660","Rapid City, SD Pennington, SD","0.8919","0.9246"
"6680","Reading, PA Berks, PA","0.9218","0.9458"
"6690","Redding, CA Shasta, CA","1.1830","1.1220"
"6720","Reno, NV Washoe, NV","1.0446","1.0303"
"6740","Richland-Kennewick-Pasco, WA Benton, WA Franklin, WA","1.0508","1.0345"
"6760","Richmond-Petersburg, VA Charles City County, VA Chesterfield, VA Colonial Heights City, VA Dinwiddie, VA Goochland, VA Hanover, VA Henrico, VA Hopewell City, VA New Kent, VA Petersburg City, VA Powhatan, VA Prince George, VA Richmond City, VA","0.9379","0.9570"
"6780","1 Riverside-San Bernardino, CA Riverside, CA San Bernardino, CA","1.0979","1.0660"
"6800","2 Roanoke, VA Botetourt, VA Roanoke, VA Roanoke City, VA Salem City, VA","0.8489","0.8939"
"6820","Rochester, MN Olmsted, MN","1.1490","1.0998"
"6840","1 Rochester, NY Genesee, NY Livingston, NY Monroe, NY Ontario, NY Orleans, NY Wayne, NY","0.9198","0.9444"
"6880","Rockford, IL Boone, IL Ogle, IL Winnebago, IL","0.9607","0.9729"
"6895","Rocky Mount, NC Edgecombe, NC Nash, NC","0.8997","0.9302"
